timestamp,grid_x,grid_y,cost_value,obstacle_density,object_count,cluster_count,safety_zone,region_type
2025-08-29T12:51:13.576809Z,1,8,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,2,8,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,3,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,8,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,8,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,8,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,0,9,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,1,9,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,2,9,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,3,9,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,9,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,9,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,9,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,9,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,9,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,9,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,0,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,0,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,0,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,0,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,0,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,0,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,0,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,0,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,0,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,0,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,1,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,1,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,1,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,1,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,1,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,1,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,1,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,1,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,1,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,1,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,2,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,2,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,2,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,2,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,2,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,2,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,2,0,0.000,0,0,GÜVENLİ,ORTA
